2016-06-28 14:34:20,663 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:34:21,190 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:34:21,680 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:34:22,252 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:34:22,835 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:34:23,440 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:34:24,045 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:36:05,632 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:36:05,712 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:36:06,206 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:36:06,241 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:36:06,731 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:36:06,766 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:36:07,306 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:36:07,339 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:36:07,823 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:36:07,896 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:36:08,419 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:36:08,487 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:36:08,971 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:36:09,039 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:37:40,021 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:37:40,097 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:37:40,632 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:37:40,666 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:37:41,122 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:37:41,156 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:37:41,682 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:37:41,718 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:37:42,199 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:37:42,271 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:37:42,781 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:37:42,852 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:37:43,345 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:37:43,415 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
2016-06-28 14:42:56,954 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:42:57,030 - elm.sample_util.band_selection - SpatialBounds(north=40.0, south=30.0, east=-92.366421, west=-117.48666)
2016-06-28 14:42:57,511 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:42:57,544 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-58.451723, west=-172.76311)
2016-06-28 14:42:58,006 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:42:58,040 - elm.sample_util.band_selection - SpatialBounds(north=80.0, south=70.0, east=-29.213679, west=-115.17541)
2016-06-28 14:42:58,579 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:42:58,615 - elm.sample_util.band_selection - SpatialBounds(north=70.0, south=60.0, east=-19.983333, west=-58.476088)
2016-06-28 14:42:59,085 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:42:59,158 - elm.sample_util.band_selection - SpatialBounds(north=20.0, south=10.0, east=0.0088681481, west=-10.641778)
2016-06-28 14:42:59,680 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:42:59,750 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=34.650639, west=21.283555)
2016-06-28 14:43:00,261 - elm.sample_util.band_selection - SpatialBounds(north=-20.0, south=-30.0, east=150.12069, west=127.70133)
